MIDA;N ACCESSOS;DESV EST
1000;425.131;318.07863153471976
2000;840.3145;659.360430712783
3000;1286.5416666666667;974.4759355317926
4000;1746.461;1331.8550180027064
5000;2166.9856;1652.3531203083132
6000;2603.1446666666666;1987.5543871983823
7000;2992.641285714286;2313.873017576159
8000;3427.796625;2616.8511220575137
9000;3935.1656666666668;3015.7554158487787
10000;4255.1083;3293.3096414353818
11000;4761.592909090909;3682.960948637128
12000;5244.99025;3968.766885379932
13000;5605.487538461539;4326.595174712483
14000;6032.5890714285715;4640.357060098897
15000;6510.614933333333;4988.755195623127
16000;6960.9819375;5272.016032990643
17000;7332.382529411765;5628.154457606033
18000;7721.340944444444;5968.088923100401
19000;8185.625736842106;6338.220409379433
20000;8534.68565;6585.63026371293
21000;9049.291571428572;6951.842245797884
22000;9501.5705;7305.164554853175
23000;9893.207304347827;7579.71181383349
24000;10476.706708333333;7984.807844761721
25000;10846.21456;8298.986299058688
26000;11219.654807692308;8615.055643520363
27000;11651.958296296296;8992.840071460067
28000;12057.562214285714;9297.308431206297
29000;12545.983310344827;9612.44283410649
30000;12964.677766666666;9930.997598995662
31000;13563.715677419355;10383.018949052872
32000;13831.554875;10654.346191807126
33000;14341.922181818181;11005.12701672171
34000;14814.220588235294;11304.917468529738
35000;15152.6246;11631.627825502032
36000;15728.680027777778;12021.60586018488
37000;16043.579027027026;12312.864783902793
38000;16393.40942105263;12530.44035815263
39000;16837.76058974359;12851.163703506272
40000;17430.2377;13352.457845055449
41000;17814.449804878048;13648.120506692298
42000;18092.40780952381;13920.703566758893
43000;18577.57941860465;14295.078804631828
44000;19060.57615909091;14534.076979349515
45000;19505.29397777778;14924.798299133376
46000;20026.788;15271.127818096129
47000;20326.190531914894;15642.400191964945
48000;20689.473145833334;15881.30399393118
49000;21215.469142857142;16360.825250308753
50000;21662.48904;16610.064065668386
