MIDA;N ACCESSOS;DESV EST
1000;357.0956719817768;268.805545647388
2000;679.8604783599089;510.227353862358
3000;1007.6194144838213;767.1811152715117
4000;1363.5338657202012;1029.5006539014105
5000;1720.574982722875;1320.5810814677384
6000;2054.3790322580644;1575.2945907285985
7000;2416.6765627577106;1823.7714058994188
8000;2715.2729741317708;2083.901943557888
9000;3092.35244737182;2369.2431556766824
10000;3450.2722743598656;2599.6064684878697
11000;3745.071937172775;2871.6939141020935
12000;4125.098854557706;3171.2576605850836
13000;4464.674957653561;3433.44361245821
14000;4790.61337952652;3694.647856813179
15000;5080.41233616037;3867.3412632355507
16000;5593.101854514089;4238.995905093656
17000;5829.5318799972665;4457.637633546924
18000;6242.1771333461365;4725.189552841168
19000;6452.7377288486105;4944.097199243765
20000;7036.986997977463;5295.194104446063
21000;7151.821020689656;5479.116559060718
22000;7426.3212500657655;5724.004381289234
23000;7918.5182295573895;6080.081844532536
24000;8293.408629074975;6314.988950634824
25000;8592.873142226108;6595.80891082457
26000;8860.996862534175;6847.069457438035
27000;9236.826303582167;7118.754844012106
28000;9627.922820470078;7357.704093180013
29000;9956.853069652927;7551.609567280493
30000;10293.969983775014;7887.7268496627
31000;10733.095896537587;8141.682615145133
32000;11035.410086528365;8354.358253338864
33000;11378.595890170775;8724.186598699163
34000;11718.225129823846;8961.000956667353
35000;12008.105278805497;9192.752857177104
36000;12383.892662782508;9446.698345855684
37000;12797.805706311055;9800.288784220074
38000;13063.119607843137;9980.442239769804
39000;13348.37179943101;10302.292060859514
40000;13776.266223442693;10556.424308534615
41000;14146.986234408361;10793.458602023047
42000;14421.277190664905;11002.349418610425
43000;14850.531800601633;11286.312745443252
44000;15079.346751672902;11544.190196590891
45000;15436.827504871295;11809.50599271648
46000;15776.53067577066;12153.489962239793
47000;16176.971273672849;12396.485140952387
48000;16359.762830444466;12522.443243570831
49000;16790.385165262935;12897.799520647282
50000;16957.94003474233;13103.84335203917
