MIDA;N ACCESSOS;DESV EST
1000;2.896;1.7930934164175543
2000;4.8995;2.5217850324720286
3000;3.6136666666666666;2.7561591431233463
4000;3.41425;2.759464973051811
5000;2.8866;2.4495184098103358
6000;2.6813333333333333;2.2668152892451774
7000;2.8484285714285713;2.247861927454096
8000;2.949375;2.0492833160340225
9000;2.887777777777778;1.8576166198041302
10000;3.053;1.9142076689847838
11000;3.1787272727272726;1.8635406716008525
12000;3.374416666666667;1.9706755592239045
13000;3.8116923076923075;2.451106857809734
14000;3.7735;2.0407416106476393
15000;3.9760666666666666;2.1253769537556444
16000;4.057125;2.0540476465688577
17000;4.329882352941176;2.3161075328676337
18000;4.4945;2.283095553312502
19000;4.738631578947368;2.4121190118699176
20000;5.0025;2.6459580023121494
21000;4.7630952380952385;2.595475906535446
22000;4.6148181818181815;2.6588101343605497
23000;4.436869565217392;2.6725035861097877
24000;4.319833333333333;2.7316887277940376
25000;4.2418;2.7685326004943582
26000;4.3815;3.26156464045196
27000;3.932111111111111;2.7680890564957314
28000;3.9544285714285716;2.9138821114079243
29000;3.7840344827586208;2.818035559144811
30000;3.6725;2.8502123458898447
31000;3.7774516129032256;2.8562757088698176
32000;4.0595625;2.950606261193635
33000;3.4714242424242423;2.6338993622229085
34000;3.5685294117647057;2.8525031652842645
35000;3.3062285714285715;2.7340908239249884
36000;3.4795;2.7447164951754277
37000;3.222891891891892;2.7222943948250315
38000;3.2470526315789474;2.8188588111555766
39000;3.150692307692308;2.7249059325451954
40000;3.4204;2.84262446341425
41000;3.1378048780487804;2.5638833086669552
42000;3.064857142857143;2.53393787809964
43000;3.0053255813953488;2.5129514771583628
44000;3.408181818181818;2.6355224363292487
45000;3.110288888888889;2.73350258111967
46000;3.0630434782608695;2.5876427661231682
47000;2.866957446808511;2.5102135406105734
48000;3.140375;2.665153815331327
49000;2.894755102040816;2.5820742020559453
50000;3.12736;2.7373014869394554
