Num: 1062934408, hash: 54249, index: 9
Num: 1333368508, hash: 54635, index: 5
Num: 1089497294, hash: 54617, index: 7
Num: 1039926693, hash: 54389, index: 9
Num: 1210018908, hash: 54905, index: 5
Num: 1303706802, hash: 51679, index: 9
Num: 1391067425, hash: 53379, index: 9
Num: 1385061646, hash: 54303, index: 3
Num: 1095133895, hash: 55373, index: 3
Num: 1010563863, hash: 53669, index: 9
Num: 1023585968, hash: 56577, index: 17
Num: 1048812924, hash: 53185, index: 5
Num: 1029351895, hash: 55345, index: 5
Num: 1238494056, hash: 54145, index: 5
Num: 1325785563, hash: 53559, index: 19
Num: 1136812668, hash: 55855, index: 15
Num: 1212492628, hash: 54985, index: 25
Num: 1238104031, hash: 50737, index: 17
Num: 1207542641, hash: 51805, index: 5
Num: 1251226305, hash: 52561, index: 1
Num: 1030459230, hash: 50941, index: 21
Num: 1228012541, hash: 51517, index: 37
Num: 1386630787, hash: 55911, index: 31
Num: 1209692494, hash: 54557, index: 37
Num: 1316889236, hash: 54219, index: 19
Num: 1194999741, hash: 52615, index: 15
Num: 1273186202, hash: 51097, index: 17
Num: 1022033047, hash: 54025, index: 25
Num: 1001297309, hash: 54873, index: 33
Num: 1341229479, hash: 56719, index: 39
Num: 1294116459, hash: 56009, index: 9
Num: 1273383896, hash: 56057, index: 57
Num: 1267717524, hash: 52981, index: 21
Num: 1079839965, hash: 55253, index: 53
Num: 1075890269, hash: 55989, index: 69
Num: 1363064654, hash: 53703, index: 23
Num: 1316903934, hash: 53467, index: 27
Num: 1243009066, hash: 54333, index: 13
Num: 1216995547, hash: 55161, index: 41
Num: 1074012949, hash: 56109, index: 29
Num: 1189144949, hash: 56395, index: 75
Num: 1233922086, hash: 54601, index: 41
Num: 1209333363, hash: 52973, index: 13
Num: 1353120537, hash: 54227, index: 67
Num: 1174918054, hash: 53183, index: 63
Num: 1304210295, hash: 54327, index: 7
Num: 1150933937, hash: 55063, index: 23
Num: 1262833621, hash: 51357, index: 77
Num: 1302457110, hash: 50183, index: 23
Num: 1080398250, hash: 51521, index: 1
Num: 1181219520, hash: 50939, index: 59
Num: 1049117330, hash: 50841, index: 41
Num: 1245734791, hash: 53341, index: 61
Num: 1068209381, hash: 52745, index: 25
Num: 1322772787, hash: 56127, index: 47
Num: 1053137658, hash: 55853, index: 13
Num: 1246646408, hash: 54389, index: 69
Num: 1392224811, hash: 51307, index: 27
Num: 1184704753, hash: 53251, index: 51
Num: 1254707872, hash: 53561, index: 41
Num: 1320207977, hash: 56127, index: 47
Num: 1098284403, hash: 51797, index: 117
Num: 1405065595, hash: 55169, index: 129
Num: 1215848566, hash: 55169, index: 129
Num: 1003246469, hash: 56329, index: 9
Num: 1202255796, hash: 55909, index: 69
Num: 1200819368, hash: 55861, index: 21
Num: 1336909877, hash: 56291, index: 131
Num: 1273140915, hash: 53273, index: 153
Num: 1210722813, hash: 52233, index: 73
Num: 1348876860, hash: 52487, index: 7
Num: 1343635625, hash: 53503, index: 63
Num: 1133210732, hash: 51895, index: 55
Num: 1274608118, hash: 54257, index: 17
Num: 1111261981, hash: 53119, index: 159
Num: 1294585185, hash: 54569, index: 9
Num: 1051295054, hash: 53101, index: 141
Num: 1323122106, hash: 52551, index: 71
Num: 1004430095, hash: 54161, index: 81
Num: 1329235923, hash: 52839, index: 39
Num: 1366346318, hash: 54479, index: 79
Num: 1144952888, hash: 56755, index: 115
Num: 1092738123, hash: 52053, index: 53
Num: 1263034119, hash: 54501, index: 101
Num: 1238078146, hash: 54145, index: 65
Num: 1408300429, hash: 54857, index: 137
Num: 1132559246, hash: 54303, index: 63
Num: 1113637613, hash: 52335, index: 15
Num: 1197049906, hash: 54127, index: 47
Num: 1033762210, hash: 50085, index: 5
Num: 1256467089, hash: 56537, index: 57
Num: 1172990126, hash: 53295, index: 15
Num: 1338870432, hash: 51843, index: 3
Num: 1247404247, hash: 54365, index: 125
Num: 1131257011, hash: 50535, index: 135
Num: 1063602594, hash: 54369, index: 129
Num: 1321824013, hash: 51367, index: 7
Num: 1176048844, hash: 53919, index: 159
Num: 1239258845, hash: 54505, index: 105
Num: 1334489077, hash: 55427, index: 67
